,optA,value,slr,L,s1,lon,lat
Sweden2852,fullProtect,0.325885,0.061885,4.45,1.259,11.704,57.713
Sweden2853,fullRetreat,13460.4647864,0.061885,43.527,0.911,11.875,57.685
Sweden2854,noAdaptation,424.126435598,0.05441,4.778,0.732,11.922,57.563
Sweden2855,noAdaptation,0,0.061885,1.824,0.62,11.915,57.534
Sweden2856,fullRetreat,710.397216835,0.11616,217.503,0.596,12.345,56.975
Sweden9003,noAdaptation,1370.37610645,0.02409,116.433,0.622,11.78,58.25
Sweden9005,fullRetreat,122.357546025,0.02409,67.185,0.608,11.644,58.045
Sweden2871,noAdaptation,11414.096542,-0.02056,368.585,0.842,16.681,57.491
Sweden2872,noAdaptation,123.17703048,-0.1848615,10.94,0.78,16.704,57.973
Sweden2873,noAdaptation,14.3087749308,-0.1848615,6.176,0.817,16.629,57.985
Sweden2874,noAdaptation,16555.3077851,-0.1848615,306.454,0.77,16.902,58.475
Sweden2875,noAdaptation,656.314627895,-0.1848615,34.33,0.736,16.89,58.618
Sweden2857,fullRetreat,143.304216518,0.216145,64.256,0.556,12.641,56.389
Sweden2858,fullRetreat,121.913445994,0.216145,4.637,0.588,12.771,56.225
Sweden2859,fullRetreat,74.3252481065,0.216145,3.485,0.621,12.734,56.223
Sweden2860,fullRetreat,251.970762614,0.216145,54.719,0.709,12.483,56.291
Sweden2868,fullRetreat,110.352954699,0.26448,51.143,0.649,13.972,55.42
Sweden2869,fullRetreat,2835.46953736,0.254975,110.471,0.686,14.193,55.735
Sweden2870,fullRetreat,3087.28744772,0.08934,215.162,0.829,15.238,56.15
Sweden2861,fullRetreat,148.282432484,0.216145,11.778,0.66,12.643,56.093
Sweden2862,fullRetreat,681.160271182,0.244675,36.189,0.596,12.801,55.947
Sweden2863,fullRetreat,112.731130148,0.244675,13.345,0.624,12.959,55.79
Sweden2864,fullRetreat,550.809794027,0.244675,15.583,0.634,13.048,55.695
Sweden2865,fullRetreat,14024.559685,0.262095,23.854,0.758,12.948,55.585
Sweden2866,fullRetreat,772.411698317,0.262095,53.058,0.823,13.109,55.377
Sweden2867,fullRetreat,500.190586931,0.26448,45.704,0.708,13.541,55.393
Sweden2915,,,,,,,
Sweden2913,,,,,,,
Sweden2914,,,,,,,
Sweden2891,fullRetreat,4218.52269034,-0.096767,138.916,0.807,16.394,59.481
Sweden2892,,,,,,,
Sweden2893,,,,,,,
Sweden2894,,,,,,,
Sweden2895,noAdaptation,67.9752068534,-0.1622835,3.404,0.784,17.536,59.586
Sweden2896,,,,,,,
Sweden2897,noAdaptation,85.7129754949,-0.1622835,3.967,0.968,17.645,59.666
Sweden2898,noAdaptation,501.904608836,-0.1622835,4.55,0.967,17.608,59.66
Sweden2899,fullRetreat,26.954731395,-0.1622835,18.737,0.801,17.685,59.629
Sweden2900,noAdaptation,223.123367874,-0.1622835,7.717,0.839,17.722,59.694
Sweden2901,noAdaptation,1609.68001638,-0.297775,17.227,0.884,17.782,59.605
Sweden9106,,,,,,,
Sweden2890,,,,,,,
Sweden2876,noAdaptation,4111.93420816,-0.096767,15.704,0.84,17.103,58.676
Sweden2877,,,,,,,
Sweden2878,,,,,,,
Sweden2889,,,,,,,
Sweden9094,,,,,,,
Sweden2879,noAdaptation,1828.27858237,-0.297775,2.874,0.822,17.886,59.286
Sweden2880,noAdaptation,496.512124861,-0.297775,2.411,0.779,17.907,59.297
Sweden2881,noAdaptation,44295.1677228,-0.297775,28.951,0.757,18.037,59.319
Sweden2882,noAdaptation,527.536799797,-0.297775,5.444,0.793,18.191,59.327
Sweden2883,noAdaptation,3394.90903346,-0.297775,4.517,0.777,18.232,59.343
Sweden2884,noAdaptation,1834.57840032,-0.297775,14.305,1.122,18.311,59.369
Sweden2885,,,,,,,
Sweden2886,noAdaptation,18283.7880556,-0.297775,24.25,0.808,18.274,59.263
Sweden2887,,,,,,,
Sweden2888,noAdaptation,1440.5617712,-0.1622835,11.156,0.731,17.754,59.126
