Unnamed: 0,optA,value,slr,L,s1,lon,lat
Maldives9618,fullRetreat,1712.74566249,0.48218,4.038,1.639,73.01899999999999,5.486000000000001
Maldives9619,fullRetreat,1688.33217486,0.48218,3.6439999999999997,1.615,73.017,5.473
Maldives9620,fullRetreat,1665.66250779,0.48218,4.665,1.594,73.01100000000001,5.456
Maldives9622,fullRetreat,5288.92052073,0.48218,3.3110000000000004,1.069,73.154,5.819
Maldives9634,fullRetreat,1686.58835432,0.48218,4.762,1.23,73.26899999999999,6.082000000000001
Maldives9659,fullRetreat,1822.6063568,0.48218,2.608,1.275,73.343,5.787000000000001
Maldives9660,fullRetreat,1519.18158204,0.48218,4.399,1.1420000000000001,73.336,5.746
Maldives9661,fullRetreat,1182.62421693,0.48218,11.033,1.1640000000000001,73.385,5.975
Maldives9665,fullRetreat,1292.48491124,0.48218,5.377999999999999,1.041,73.368,5.683
Maldives9666,fullRetreat,2991.9949758000002,0.48218,4.891,1.2229999999999999,73.385,5.778
Maldives9667,fullRetreat,1283.76580852,0.48218,3.8139999999999996,1.253,73.436,5.914
Maldives9668,fullProtect,1.01118,0.48218,1.9240000000000002,1.25,73.425,5.853
Maldives9669,fullRetreat,1283.76580852,0.48218,1.203,1.244,73.387,5.715
Maldives9670,fullRetreat,1283.76580852,0.48218,0.9009999999999999,1.2429999999999999,73.384,5.696000000000001
Maldives9671,fullRetreat,2411.30273445,0.48218,3.431,1.275,73.388,5.709
Maldives9672,fullRetreat,1744.13443229,0.48218,4.434,1.669,73.395,5.73
Maldives9673,fullRetreat,1346.54334812,0.48218,3.972,1.071,73.44800000000001,5.893
Maldives9674,fullRetreat,1168.67365258,0.48218,11.4,1.1440000000000001,73.462,5.846
Maldives9678,fullRetreat,1480.81753006,0.48218,1.3419999999999999,1.0190000000000001,73.347,5.441
Maldives9680,noAdaptation,2616.04470459,0.48218,2.041,1.018,73.359,5.468
Maldives9681,fullRetreat,1428.50291372,0.48218,1.5419999999999998,1.004,73.351,5.4510000000000005
Maldives9682,noAdaptation,2593.37503751,0.48218,4.342,1.005,73.363,5.4879999999999995
Maldives9675,fullRetreat,10166.7876627,0.48218,4.854,1.0070000000000001,73.32600000000001,5.36
Maldives9683,fullRetreat,1437.22201644,0.48218,0.907,1.004,73.329,5.361000000000001
Maldives9695,noAdaptation,2582.91211424,0.48218,0.637,0.9990000000000001,73.382,5.359
Maldives9697,fullRetreat,1470.35460679,0.48218,5.695,1.01,73.385,5.359
Maldives9698,fullRetreat,1554.05799293,0.48218,2.425,1.031,73.405,5.349
Maldives9705,fullRetreat,1679.61307214,0.48218,3.736,1.192,73.548,5.471
Maldives9707,fullRetreat,13610.833238299998,0.48218,2.4819999999999998,0.976,73.579,5.278
