year,hydro,nuclear,biofuels,biomass,other,coal,gas,oil,geoth.,wind,PV,CSP
1984,0.023780185132703118,0.015219048957759438,0.0003018453562512915,0.07966565492511825,0.00038267064798006803,0.27585069515700633,0.1952209707881397,0.40933361952384567,0.0002446810150289182,5.513297616478712e-07,3.8583202853673686e-08,3.8583202853673686e-08
1985,0.023597386375269494,0.017654053772562364,0.00033408301033031434,0.0790341404127697,0.00037888418179787137,0.28046756336027423,0.1975822242790176,0.4006895065539031,0.00026124689342817397,7.712171917712198e-07,7.69689004427191e-08,6.297455490767924e-08
1986,0.023406647159571404,0.018627230513219937,0.0003716911284463142,0.07883183409739793,0.00040147709126711205,0.27879431516509956,0.19579193493636063,0.4034792463087623,0.00029381193496639835,1.6345181592805334e-06,1.062880495327704e-07,7.085869968851361e-08
1987,0.023108806627861384,0.01965065227127583,0.0004095995555423497,0.07788998819409372,0.0004335871406337569,0.2797135295689595,0.1992647188054992,0.3992438274314623,0.00028293939161894323,2.231014881085168e-06,7.799881167020876e-08,4.199936013011241e-08
1988,0.022943663116207182,0.02073631268922516,0.00045033586357883735,0.07677120065983155,0.000443912436121856,0.2787979074459495,0.20178178350294074,0.3977899537290129,0.00028115477695480777,3.6641027176952758e-06,7.817422189924602e-08,3.350323795681973e-08
1989,0.02245176313241103,0.020918309142508935,0.0005018788722946458,0.07666610451550826,0.0008772805169116867,0.27411268987830656,0.20693179179233714,0.3972306684739982,0.0002781770807863788,2.851894710627788e-05,2.113235873243064e-06,7.044119577476881e-07
1990,0.023052666264430643,0.02132359510676825,0.0007962566427958441,0.07729443174399944,0.0010092125559268846,0.2690096674896073,0.2089706303715416,0.398206964976954,0.0002937095058573878,3.8749041677607015e-05,3.2930403528893832e-06,8.232600882223458e-07
1991,0.023488039859285728,0.022257288834892964,0.0008838375425314817,0.0783189637587804,0.0011008947407126883,0.2615334303773565,0.21315256974101912,0.39893454759051106,0.00028161150345673504,4.345234665887051e-05,4.328956744415302e-06,1.0347480499041225e-06
1992,0.023459936701682407,0.02240274443077974,0.0008554073238431472,0.07943560098528556,0.0012113520787210633,0.25775200659948994,0.21300097033887183,0.40155716955418763,0.0002703028759922046,4.960692456520803e-05,3.9911969082465e-06,9.109896730183926e-07
1993,0.02469735373485175,0.022998594223775773,0.0008626950455610778,0.08003206872476659,0.0012375726460584818,0.25695103919648987,0.21504863737495084,0.39782269569208234,0.0002838769274537636,5.965927402246675e-05,4.769130139355551e-06,1.038029847683172e-06
1994,0.02452813973486257,0.023136936042788662,0.000961009163272968,0.08021051427492845,0.001288349657093168,0.25545596297712414,0.2132177450596271,0.4008465298769176,0.00027458705988980933,7.408435197503754e-05,5.0874589261923776e-06,1.0543425943618005e-06
1995,0.025284393180186156,0.023622326676508324,0.0009608621580824485,0.0796070760636906,0.0013460835752165964,0.2554608300024246,0.2148353611700098,0.3985495967567358,0.00024307084994624746,8.396716256675422e-05,5.373738036846212e-06,1.0586665957876574e-06
1996,0.025050936180057725,0.023894691675835234,0.0009701222769515295,0.07879825626883355,0.001337541355972479,0.25545968976858324,0.21688289059228258,0.39724193980960376,0.00026590170799633243,9.113809532485792e-05,5.806736260703537e-06,1.0855322979950233e-06
1997,0.02520370944007851,0.02346722510884727,0.0010780672894013705,0.07896009416369351,0.001420050013742915,0.2519080764236123,0.21437585661269212,0.40319708471620425,0.0002648169236411601,0.00011783432527378769,6.104241648155969e-06,1.0807411647789625e-06
1998,0.025465126734666,0.02374681589650088,0.001009143033636383,0.0796191132290405,0.001465852325636033,0.24841186851909355,0.21566401825172118,0.4041693085199535,0.00028522893973190877,0.00015583541315849077,6.587027244772632e-06,1.1021096168296624e-06
1999,0.02521171915208515,0.024202834807945307,0.0009738684975426911,0.07915729096674559,0.0015091014901023386,0.24587585349731841,0.216953979802166,0.4055806792701506,0.0003227355691587921,0.0002035820525457066,7.2165398993729955e-06,1.1383543401326434e-06
2000,0.024883392575195482,0.02413756315987015,0.0016651106240217167,0.07812946202754065,0.0015403364996976424,0.25046129527868277,0.21964488080655112,0.39893756056457763,0.00031530266819234905,0.0002755537598097051,8.30952289547912e-06,1.2325129653581467e-06
2001,0.024065110857548,0.024628618618381153,0.001562974005101311,0.07850287129412652,0.0016097666595320237,0.2493091362058207,0.2205953054895044,0.39910104126026413,0.00025678106040762994,0.00035679440496170324,1.0183960062715119e-05,1.4161842896893833e-06
2002,0.02408887862429586,0.0245572947432591,0.0018212735707914224,0.07798668070915371,0.0017162888157286136,0.24981133564337513,0.22390592623108269,0.395358794135736,0.0002565299079485267,0.0004825984364904698,1.2743276192314238e-05,1.6559059458939405e-06
2003,0.023213443689036724,0.023254062206183333,0.002024579094509024,0.07628120111365883,0.0017451704762730894,0.2607950185029808,0.2221351604734349,0.38969615172557315,0.0002800436537356321,0.0005575888798715145,1.5682989806104263e-05,1.8971949368430664e-06
2004,0.023652695065257832,0.023267766963614274,0.0024344836804073735,0.07398654899576254,0.0017834884144517713,0.2678702643014358,0.21963102654118866,0.38632659405133674,0.0003042343432161711,0.0007209968499576618,1.969246337303849e-05,2.2083299982740108e-06
2005,0.023981413406897176,0.022701027936788302,0.002739525199466793,0.07286311029181568,0.0018610977023703257,0.2730013090644934,0.2197417159329069,0.38188662626339154,0.0003387516627565677,0.0008553033260892734,2.7295536803058878e-05,2.8236762210060912e-06
2006,0.024291892625462386,0.022393217423883515,0.0035473447440344504,0.07177946557102152,0.0019251744103106567,0.27933910470266804,0.21943486717079486,0.37585153045023245,0.0003351135593788361,0.0010622922366671287,3.653068973223198e-05,3.466415814007414e-06
2007,0.024062827704252908,0.021363957311016393,0.004581828642697265,0.07077608522061626,0.0019996353325484706,0.2832952083404604,0.22165977802323783,0.37053450103111474,0.00034762426959427723,0.0013262090287913092,4.817929847308492e-05,4.165797197084301e-06
2008,0.024765870848303975,0.021069798886859496,0.006180626006826994,0.07090710142488081,0.0020426579191426967,0.28549566621889855,0.22520516878589322,0.36216966640866655,0.0003908302595663605,0.0016864511637485662,7.991532661486315e-05,6.246750597927309e-06
2009,0.025246369619610326,0.021011412201067812,0.007298760408172321,0.07218731083008273,0.0022127829275897038,0.28683284960107636,0.220341692511467,0.3622054693290291,0.00036461185221098877,0.0021509141658987065,0.00013815623340104644,9.6703203940991e-06
2010,0.025478269902467033,0.020352585761264974,0.0077510288812687,0.06938440881973171,0.0022248692651701263,0.29158250731706514,0.22553793760972565,0.3544517768330798,0.0004884025969142238,0.002524163229522388,0.00021098021306917335,1.3069570721099233e-05
2011,0.025279412995024862,0.019081290670374843,0.00784043432603796,0.06861352138880845,0.0023046399850711373,0.29790350984892067,0.2245554338022457,0.35021628326842613,0.0006464746121383727,0.003133409600132636,0.00040377804079962354,2.1811462019479002e-05
2012,0.026033854376328113,0.01748562761465892,0.007978047661702452,0.06824795809069513,0.0024014714469400367,0.29948820831390954,0.2259870360995069,0.3472589787924303,0.0007642902880969769,0.003689556883122145,0.0006356009051692223,2.9369527440251765e-05
2013,0.02621017230318847,0.017249009764561955,0.008098015996022058,0.06770724997282909,0.002635113834832598,0.29959951269684754,0.22681085011411808,0.34296308754518906,0.001254074276318682,0.006234333265981582,0.001192649546577632,4.593068353327962e-05
2014,0.02616561221703278,0.01725348183164512,0.00821118469433689,0.06708817447678378,0.002757633093707876,0.2987476291652269,0.22450604286615572,0.3371168653410229,0.0014356851885366374,0.01304108890645918,0.003237341576895067,0.0004392606421972991
2015,0.026112902678069157,0.0172525207485773,0.008323313179557082,0.06643933118595892,0.002838053439836253,0.29762972040309665,0.22355358752138516,0.33036035840376055,0.0020497301988552145,0.018605569843869824,0.0056964189610086025,0.0011384934360252187
2016,0.026061123086301565,0.017252105040769232,0.008437239536941024,0.06578366344810874,0.002946944571453464,0.29632881121264915,0.22246780557014192,0.3227262932324479,0.0026811507658241183,0.024324694207054298,0.00884108489134181,0.002149084436966607
2017,0.02601562606010166,0.017255788375380537,0.008554757418038399,0.06513492983983585,0.003042687151335616,0.2949458074671969,0.22132540140831955,0.3151482576679519,0.00325547464550483,0.029529252466496986,0.012396599471262435,0.003395418028575287
2018,0.02598444946943378,0.01726893689021531,0.00867866856520039,0.06451291776694622,0.0031213017399605507,0.2935573172581108,0.22018470046853028,0.3077122961350941,0.0037663856131879008,0.03417046869368566,0.016227209362023407,0.004815348037611623
2019,0.025975241033888815,0.017296698958717292,0.00881181427998499,0.06393601050911268,0.003207549519310571,0.2922344103073093,0.21909976401487766,0.30049225869248847,0.004208370900326902,0.038207477459783756,0.020188552167950784,0.006341852156248734
2020,0.02599543157154945,0.01734411843817013,0.008957131429656952,0.06342140870542716,0.0033052410352674773,0.2910440921890716,0.2181215140565582,0.2935520808226336,0.00457898297483149,0.041627117953013555,0.024143728412747853,0.007909152411072574
2021,0.02603884800941197,0.017407184133446246,0.009112968041170528,0.0629524523751577,0.0033905651089302245,0.2849862214632295,0.21353794335259493,0.28723095058618714,0.005361838401664176,0.048841841527069066,0.03074410283108101,0.01039508417005735
2022,0.02611087185172115,0.01748959239501759,0.009281659234005507,0.0625408021125189,0.003418119466628933,0.27778265764133486,0.20810032254949914,0.2796888537614061,0.006262625452178282,0.05719919721026161,0.03871223092750127,0.013413067397926668
2023,0.026210747928420198,0.01759094969575037,0.009463457280390261,0.06218349309396719,0.0034694413393427663,0.2695159040301195,0.20187072188264266,0.2710196775880516,0.007254065350392153,0.06647049036046768,0.047997441081364126,0.01695361036909148
2024,0.026337903675597938,0.017710981767276333,0.009658680116059517,0.06187819531334054,0.0035186878832759935,0.2602902837163298,0.1949274429367137,0.261341174705088,0.008315054394429434,0.07648211236731667,0.05854055050242331,0.020998932622148806
2025,0.026490874346334757,0.01784881062426873,0.009867315994686546,0.061620415036121604,0.003593864927559097,0.2502288931722804,0.18736273646917695,0.25079121268876964,0.009422303045904077,0.08703768826337203,0.07022771309049514,0.025508172341030956
2026,0.026667340183034537,0.018002973746799503,0.01008901134989016,0.06140342247827807,0.003649637356892514,0.23946964653308897,0.17927984446658948,0.2395230447974984,0.010557152467166849,0.09797951504601592,0.08294179172788123,0.03043661984686433
2027,0.026865042244079852,0.018172037862135035,0.010323396384831667,0.06122082144812739,0.0036892766610097908,0.22815822431981284,0.170787729509185,0.22769748525435132,0.011699909257430334,0.10913554875935237,0.0965267846737113,0.03572374362597323
2028,0.027081653739530608,0.0183545120872786,0.01057003492093093,0.06106652563312288,0.0037519527720907947,0.21644189137089184,0.1619964597903998,0.21547604174995127,0.012831304451032593,0.12033191122650949,0.11079975791760115,0.041297954340660074
2029,0.027314809050460978,0.018548867126810684,0.010828432053467603,0.060934650542305346,0.003801874476736233,0.20446562144773522,0.15301432345610191,0.2030164746230615,0.013937734348340234,0.13144164466165523,0.1256000930034351,0.04709547520988991
2030,0.02756214296291719,0.018753561649598245,0.011098046847568644,0.06081942095013325,0.0038577727321931436,0.19236862860142567,0.1439452480390272,0.19046889945005618,0.015005403227278172,0.14233011548790658,0.1407460323586406,0.053044727693255286
2031,0.027821606182161885,0.018967257330750664,0.011378419395533053,0.06071579255679497,0.0039143009151090995,0.18028314377743782,0.1348878996192549,0.1779742627130241,0.01602370057443752,0.15288688056305494,0.15606776523716503,0.059078971135276055
2032,0.028092385708735106,0.019189449598209507,0.011669561225744298,0.060621455370097374,0.0039759509000865945,0.16833656897709517,0.12593730722263746,0.16566626840718432,0.01698303415666827,0.1630056469896364,0.17139173254893336,0.06513063889497207
2033,0.028374224150371222,0.019420009987653367,0.011971706616662445,0.06053542196892563,0.004003484816326724,0.15664089033015272,0.11717695307798937,0.15366086619446082,0.01787810310476406,0.1726162039626438,0.18657690446154948,0.07114523132850044
2034,0.028668315901980688,0.019659804424648528,0.012285714456036864,0.060459744098084106,0.004029341141500141,0.14528999792295616,0.10867677921226493,0.14205376451584933,0.01870305553108934,0.18163880347171593,0.20147020805185184,0.07706447127202198
2035,0.02897621642636335,0.01990995354069016,0.012612642279072276,0.060397098650670965,0.00405286873295692,0.1343597349986158,0.10049323398253647,0.13092074396945771,0.019455701319949347,0.19002546566509965,0.2159525360148629,0.08284380441972455
2036,0.029299457840493367,0.02017157048573894,0.0129535901415923,0.060349986768343564,0.004084821520097,0.1239086282218943,0.09266982571319445,0.1203187014227,0.020135437309353514,0.19774102606223054,0.22992122891130345,0.08844572560305848
2037,0.029639593012770703,0.02044579123115455,0.013309721531206726,0.06032075152491053,0.004125231282256726,0.11397933628398021,0.08523821144059907,0.11028742461817717,0.02074373607760515,0.20476885389061,0.2432984288366356,0.09384292027009342
2038,0.029998236866685277,0.020733803299221743,0.0136822848903725,0.06031160054766642,0.0041513244844806774,0.10460030298646203,0.0782194366652759,0.10085156592334976,0.021284203894940724,0.21111245136602413,0.25603504996339765,0.0990197391121233
2039,0.030377052903661064,0.021036836893069753,0.01407261162880345,0.06032463009839747,0.00417800456078907,0.09578734936607729,0.07162512796720667,0.0920225393641096,0.021760067828810077,0.21677140233826891,0.26808300015482334,0.10396137689598334
2040,0.03077771764425615,0.021356140596806166,0.014482103323793957,0.06036185204587645,0.004201777118879088,0.08754532588218993,0.06545872934287413,0.08380044588186404,0.022175996777665262,0.22175996777665266,0.2794175593985823,0.10866238421055979
2041,0.03113967607832818,0.02165315244601046,0.01485460263634185,0.060425168881256576,0.004227719278634975,0.07986989075055134,0.059716831946358996,0.07617607944388208,0.022542175497451158,0.22615277264138578,0.2900944662480838,0.11314746415171484
2042,0.03145235160920912,0.021920546024976957,0.015179748679931259,0.06051517255289526,0.004257357405926559,0.07274939405361514,0.054390582212850945,0.06913298569576884,0.02286369307105848,0.22999211109913387,0.30012682455770723,0.11741923303692622
2043,0.03172216083368024,0.02216165723409136,0.015463013181363018,0.06063113259924969,0.004290053545765872,0.06616655061061816,0.04946693153119479,0.0626492671566042,0.02314403736248104,0.23331114745576026,0.309518905711268,0.12147514277792328
2044,0.03195516900052672,0.022379606651998642,0.015709582721286128,0.060772218071555396,0.004325177325133517,0.060099733740394165,0.04492960217062179,0.05669898051641533,0.023386659728383226,0.236145242834069,0.3182826632927498,0.1253153639468664
